"","row.names.eurhuf.","EURHUF.X.Open","EURHUF.X.High","EURHUF.X.Low","EURHUF.X.Close","EURHUF.X.Volume","EURHUF.X.Adjusted","USDHUF.X.Open","USDHUF.X.High","USDHUF.X.Low","USDHUF.X.Close","USDHUF.X.Volume","USDHUF.X.Adjusted","kinfo_dummy","vm_dummy","nm_dummy","mgy_dummy","alapkamat"
"149","2018-12-26",321.0499878,321.4859924,320.7109985,321.0690002,0,321.0690002,281.6900024,282.0509949,280.9920044,281.6900024,0,281.6900024,0,0,0,0,0
"150","2018-12-27",320.9840088,321.4349976,320.4070129,321.0379944,0,321.0379944,282.5809937,282.9100037,280.6610107,282.6900024,0,282.6900024,0,0,0,0,0
"151","2018-12-28",320.6950073,322.0339966,320.5910034,320.7099915,0,320.7099915,280.5710144,281.1319885,279.6849976,280.5859985,0,280.5859985,0,1,0,0,0
"152","2018-12-31",321.3359985,321.3569946,320.6879883,321.3819885,0,321.3819885,280.9370117,281.2399902,279.7600098,280.947998,0,280.947998,0,0,0,0,0
"153","2019-01-01",320.8800049,323.1099854,320.7900085,320.6029968,0,320.6029968,279.7999878,279.8399963,279.769989,279.7900085,0,279.7900085,0,0,0,0,0
"154","2019-01-02",320.8670044,322.3460083,320.7659912,320.8540039,0,320.8540039,280.0899963,284.1069946,279.1260071,280.0700073,0,280.0700073,0,0,0,0,0
"155","2019-01-03",322.3510132,322.8269958,321.0679932,322.2279968,0,322.2279968,284.9899902,284.9899902,281.4400024,284.7000122,0,284.7000122,0,0,0,0,0
"156","2019-01-04",320.8940125,321.4309998,320.6019897,320.6629944,0,320.6629944,281.7600098,283.1690063,281.019989,281.5280151,0,281.5280151,0,0,0,0,0
"157","2019-01-07",320.5820007,321.2890015,320.5539856,320.571991,0,320.571991,281.0599976,281.2799988,279.7900085,281.1700134,0,281.1700134,0,0,0,0,0
"158","2019-01-08",320.8179932,322.1990051,320.7869873,320.8120117,0,320.8120117,279.6000061,281.7200012,279.3619995,279.6329956,0,279.6329956,0,0,0,0,0
"159","2019-01-09",321.3710022,321.7839966,321.1080017,321.3640137,0,321.3640137,280.5119934,281.0209961,278.3800049,280.7399902,0,280.7399902,0,0,0,0,0
